Trade Date,Type,Cusip,Ticker,Security Type,Price USD,Quantity,Amount USD
8/17/2023,Dividend,00507V109,ATVI,Stock,0,0,50.06
8/17/2023,Reinvest,00507V109,ATVI,Stock,0,0.5501,-50.06
8/17/2023,Dividend,037833100,AAPL,Stock,0,0,24.36
8/17/2023,Reinvest,037833100,AAPL,Stock,0,0.13745,-24.36
Trade Date,Type,Cusip,Ticker,Security Type,Price USD,Quantity,Amount USD
08/22/2023,WDL,,QACDS,Money Market,0,-60000,60000
08/21/2023,Buy,922906300,VMFXX,Money Market,1,60000,-60000
08/21/2023,Deposit,,,Cash,0,0,60000
08/17/2023,Dividend,00507V109,ATVI,Stock,0,0,50.06
08/17/2023,Reinvest,00507V109,ATVI,Stock,0,0.5501,-50.06
08/17/2023,Dividend,037833100,AAPL,Stock,0,0,24.36
08/17/2023,Reinvest,037833100,AAPL,Stock,0,0.13745,-24.36
08/10/2023,Dividend,N07059210,ASML,Stock,0,0,19.42
08/10/2023,Reinvest,N07059210,ASML,Stock,0,0.02398,-16.51
08/10/2023,FWT,N07059210,ASML,Stock,0,0,-2.91
08/09/2023,Dividend,57636Q104,MA,Stock,0,0,20.24
08/09/2023,Reinvest,57636Q104,MA,Stock,0,0.05138,-20.24
08/07/2023,Dividend,808524839,SCHZ,Stock,0,0,0.79
08/07/2023,Reinvest,808524839,SCHZ,Stock,0,0.01737,-0.79
08/01/2023,Dividend,922906300,VMFXX,Money Market,0,0,1661.99
08/01/2023,Reinvest,922906300,VMFXX,Money Market,0,1661.99,-1661.99
08/01/2023,Interest,,QACDS,Money Market,0,0,0.04
08/01/2023,Reinvest,,QACDS,Money Market,0,0.04,-0.04
07/24/2023,Dividend,579780206,MKC,Stock,0,0,16.43
07/24/2023,Reinvest,579780206,MKC,Stock,0,0.18597,-16.43
07/19/2023,Dividend,808524805,SCHF,Stock,0,0,68.35
07/19/2023,Reinvest,808524805,SCHF,Stock,0,1.95621,-68.35
07/17/2023,Dividend,053484101,AVB,Stock,0,0,32.22
07/17/2023,Reinvest,053484101,AVB,Stock,0,0.16317,-32.22
07/12/2023,Dividend,91822J103,MTN,Stock,0,0,32.39
07/12/2023,Reinvest,91822J103,MTN,Stock,0,0.13018,-32.39
07/11/2023,DBS,,QACDS,Money Market,0,75.83,-75.83
07/11/2023,Dividend,654445303,NTDOY,Stock,0,0,107.21
07/11/2023,FWT,654445303,NTDOY,Stock,0,0,-16.42
07/11/2023,ADR,654445303,NTDOY,Stock,0,0,-14.96
07/10/2023,DBS,,QACDS,Money Market,0,6.81,-6.81
07/10/2023,Dividend,92204A884,VOX,Stock,0,0,40.27
07/10/2023,Reinvest,92204A884,VOX,Stock,0,0.37798,-40.27
07/10/2023,Dividend,92204A207,VDC,Stock,0,0,84.82
07/10/2023,Reinvest,92204A207,VDC,Stock,0,0.43574,-84.82
07/10/2023,Dividend,808524839,SCHZ,Stock,0,0,0.85
07/10/2023,Reinvest,808524839,SCHZ,Stock,0,0.0187,-0.85
07/10/2023,Dividend,37954Y708,POTX,Stock,0,0,6.81
07/05/2023,Dividend,92204A702,VGT,Stock,0,0,94.59
07/05/2023,Reinvest,92204A702,VGT,Stock,0,0.21506,-94.59
07/03/2023,Interest,,QACDS,Money Market,0,0,0.04
07/03/2023,Reinvest,,QACDS,Money Market,0,0.04,-0.04
07/03/2023,Dividend,922906300,VMFXX,Money Market,0,0,1587.12
07/03/2023,Reinvest,922906300,VMFXX,Money Market,0,1587.12,-1587.12
06/30/2023,Dividend,67066G104,NVDA,Stock,0,0,6.9
06/30/2023,Reinvest,67066G104,NVDA,Stock,0,0.01636,-6.9
06/29/2023,Dividend,38141G104,GS,Stock,0,0,53.67
06/29/2023,Reinvest,38141G104,GS,Stock,0,0.16794,-53.67
06/26/2023,Dividend,808524607,SCHA,Stock,0,0,33.29
