Trade Date,Type,Ticker,Security Type,Price USD,Quantity,Amount USD
10/23/2018,Buy,SCHA,ETF,16.96,80,1356.64
10/02/2018,Buy,SCHA,ETF,18.69,120,2243.10
10/01/2018,Buy,SCHA,ETF,19.07,0.29,5.53
07/24/2018,Buy,SCHA,ETF,18.75,100,1875.00
07/01/2025,Buy,SCHF,ETF,22.00,2.419,53.21
12/18/2024,Buy,SCHF,ETF,18.95,8.06649,152.86
07/01/2024,Buy,SCHF,ETF,19.33,3.36762,65.09
12/11/2023,Buy,SCHF,ETF,17.64,7.02278,123.90
07/19/2023,Buy,SCHF,ETF,17.47,3.91242,68.35
12/13/2022,Buy,SCHF,ETF,16.36,6.55072,107.17
06/28/2022,Buy,SCHF,ETF,15.97,2.92626,46.74
01/04/2022,Buy,SCHF,ETF,19.67,0.40264,7.92
12/13/2021,Buy,SCHF,ETF,19.15,7.3694,141.14
06/28/2021,Buy,SCHF,ETF,19.89,2.81034,55.89
12/15/2020,Buy,SCHF,ETF,17.71,4.65314,82.43
06/29/2020,Buy,SCHF,ETF,14.82,2.58166,38.26
12/17/2019,Buy,SCHF,ETF,16.76,6.87792,115.24
07/02/2019,Buy,SCHF,ETF,16.14,0.813,13.12
12/18/2018,Buy,SCHF,ETF,14.36,9.187,131.91
10/23/2018,Buy,SCHF,ETF,15.32,80,1225.40
07/19/2018,Buy,SCHF,ETF,16.63,148,2460.50
07/02/2018,Buy,SCHF,ETF,16.29,76,1238.04
07/01/2025,Buy,SCHX,ETF,24.42,3.82317,93.36
03/31/2025,Buy,SCHX,ETF,21.68,3.97702,86.23
12/16/2024,Buy,SCHX,ETF,23.95,4.25488,101.90
09/30/2024,Buy,SCHX,ETF,22.52,3.92268,88.33
07/01/2024,Buy,SCHX,ETF,21.44,4.09668,87.84
03/25/2024,Buy,SCHX,ETF,20.56,4.04502,83.18
12/11/2023,Buy,SCHX,ETF,18.09,5.22939,94.60
09/25/2023,Buy,SCHX,ETF,16.91,4.78962,81.01
06/26/2023,Buy,SCHX,ETF,17.04,4.67016,79.58
03/29/2023,Buy,SCHX,ETF,15.67,4.80126,75.22
12/13/2022,Buy,SCHX,ETF,15.43,5.73231,88.45
09/27/2022,Buy,SCHX,ETF,14.35,5.45655,78.32
06/28/2022,Buy,SCHX,ETF,15.35,5.02311,77.10
03/28/2022,Buy,SCHX,ETF,17.99,3.45936,62.22
01/04/2022,Buy,SCHX,ETF,19.15,0.2193,4.20
12/13/2021,Buy,SCHX,ETF,18.74,4.51374,84.58
09/27/2021,Buy,SCHX,ETF,17.90,3.89046,69.62
06/28/2021,Buy,SCHX,ETF,17.28,3.80844,65.81
03/29/2021,Buy,SCHX,ETF,15.94,3.65538,58.28
12/15/2020,Buy,SCHX,ETF,14.84,5.0304,74.66
09/28/2020,Buy,SCHX,ETF,13.35,7.30818,97.58
06/29/2020,Buy,SCHX,ETF,12.05,4.986,60.08
03/30/2020,Buy,SCHX,ETF,10.13,6.65532,67.39
12/17/2019,Buy,SCHX,ETF,12.67,7.29138,92.37
10/01/2019,Buy,SCHX,ETF,11.80,4.4316,52.28
07/02/2019,Buy,SCHX,ETF,11.78,0.4608,5.43
07/02/2019,Buy,SCHX,ETF,11.86,1.1076,13.14
07/02/2019,Buy,SCHX,ETF,11.79,3.6708,43.27
03/26/2019,Buy,SCHX,ETF,11.22,5.0214,56.32
01/04/2019,Buy,SCHX,ETF,9.91,1.6926,16.77
12/24/2018,Buy,SCHX,ETF,9.50,120,1140.00
12/18/2018,Buy,SCHX,ETF,10.19,5.6514,57.56
12/06/2018,Buy,SCHX,ETF,10.50,120,1260.00
10/26/2018,Buy,SCHX,ETF,10.53,300,3160.00
10/23/2018,Buy,SCHX,ETF,10.73,180,1931.10
10/01/2018,Buy,SCHX,ETF,11.68,1.9638,22.93
07/19/2018,Buy,SCHX,ETF,11.17,444,4958.00
08/07/2025,Buy,SCHZ,ETF,23.23,0.05165,1.20
07/08/2025,Buy,SCHZ,ETF,22.94,0.04707,1.08
06/06/2025,Buy,SCHZ,ETF,22.86,0.05074,1.16
05/07/2025,Buy,SCHZ,ETF,22.98,0.04786,1.10
04/07/2025,Buy,SCHZ,ETF,23.23,0.04477,1.04
03/07/2025,Buy,SCHZ,ETF,23.17,0.04575,1.06
02/07/2025,Buy,SCHZ,ETF,22.85,0.05296,1.21
12/27/2024,Buy,SCHZ,ETF,22.69,0.04937,1.12
12/06/2024,Buy,SCHZ,ETF,23.31,0.0429,1.00
11/07/2024,Buy,SCHZ,ETF,22.98,0.0483,1.11
10/07/2024,Buy,SCHZ,ETF,23.39,0.04104,0.96
09/09/2024,Buy,SCHZ,ETF,23.74,0.04634,1.10
08/07/2024,Buy,SCHZ,ETF,23.35,0.04368,1.02
07/08/2024,Buy,SCHZ,ETF,22.90,0.04062,0.93
06/07/2024,Buy,SCHZ,ETF,22.69,0.04848,1.10
05/07/2024,Buy,SCHZ,ETF,22.66,0.04192,0.95
04/05/2024,Buy,SCHZ,ETF,22.76,0.04306,0.98
03/07/2024,Buy,SCHZ,ETF,23.06,0.04076,0.94
02/07/2024,Buy,SCHZ,ETF,23.04,0.04428,1.02
12/21/2023,Buy,SCHZ,ETF,23.29,0.03822,0.89
12/07/2023,Buy,SCHZ,ETF,22.87,0.04286,0.98
11/07/2023,Buy,SCHZ,ETF,22.09,0.03984,0.88
10/06/2023,Buy,SCHZ,ETF,21.77,0.04226,0.92
09/08/2023,Buy,SCHZ,ETF,22.58,0.03898,0.88
08/07/2023,Buy,SCHZ,ETF,22.74,0.03474,0.79
07/10/2023,Buy,SCHZ,ETF,22.73,0.0374,0.85
06/07/2023,Buy,SCHZ,ETF,23.11,0.03462,0.80
05/05/2023,Buy,SCHZ,ETF,23.44,0.03114,0.73
04/10/2023,Buy,SCHZ,ETF,23.47,0.03494,0.82
03/07/2023,Buy,SCHZ,ETF,22.76,0.03252,0.74
02/07/2023,Buy,SCHZ,ETF,23.38,0.03294,0.77
12/22/2022,Buy,SCHZ,ETF,23.17,0.03064,0.71
